מספר נייר,שם עברי, שווי שוק עכשווי ,מכפיל רווח רוב,מכפיל מכירות,מכפיל הון רוב,סהכ הכנסות,שעור רווח נקי רוב,שעור רווח תפעולי, הון רשום למסחר ,ענף פעילות, סך המאזן , הון עצמי ,הון למאזן, רווח תפעולי , רווח לפני מס , רווח נקי , דיבידנד ,תשואת דיבידנד,תשואה חודש,תשואה 3 חודשים ז.א,תשואה חצי שנה,תשואה שנה,תשואה 3 שנים,תכמ חודש,סטיית תקן חודש,שער מינ חודש,שער מקס חודש,יחסי למינ חודש,יחסי מקס חודש,שער בסיס חודש
1083484,פרטנר," 3,215 ",16.92,0.97,1.59,3330000,5.71,8.8," 186,250,178 ",מסחר ושרותים," 4,827,000 "," 2,018,000 ",41.8065," 293,000 "," 255,000 "," 190,000 ",,,-0.23%,-2.99%,3.56%,12.98%,16.40%,2969,29.12%,1602,1757,7.74%,-1.76%,1730
1084128,דלק קבוצה," 7,859 ",6.04,0.65,0.81,12144000,10.71,36.63," 18,588,973 ",חיפושי נפט וגז," 44,698,000 "," 15,196,000 ",33.997," 4,448,000 "," 3,040,000 "," 2,077,000 "," 120,000 ",9.91,-4.11%,-7.98%,-6.12%,13.59%,195.27%,15354,24.90%,40420,44780,5.84%,-4.47%,44090
1084557,נובה," 22,658 ",43.99,11.55,7.7,527527,26.26,25.35," 29,044,620 ",טכנולוגיה," 1,189,572 "," 791,781 ",66.5602," 133,746 "," 157,454 "," 138,543 ",,,26.57%,27.34%,62.02%,88.92%,137.46%,34022,21.39%,63200,80900,-5.06%,-25.83%,63220
1084698,חילן," 4,784 ",21.41,1.79,4.68,2678668,8.34,11.21," 22,932,677 ",טכנולוגיה," 2,308,144 "," 1,038,573 ",44.996," 300,179 "," 290,209 "," 224,450 "," 22,543 ",1.32,-2.30%,2.14%,10.87%,27.48%,36.25%,13239,17.39%,20300,22450,2.76%,-7.08%,21350
1087022,פוקס," 3,828 ",21.03,0.7,2.44,5476316,3.32,7.84," 13,809,019 ",מסחר ושרותים," 7,909,198 "," 2,236,199 ",28.2734," 429,167 "," 340,498 "," 252,950 "," 317,264 ",2.19,-3.86%,-8.73%,15.76%,1.91%,-20.16%,12093,27.52%,27000,32420,5.19%,-12.40%,29280
1087659,סאפיינס," 6,913 ",28.34,3.55,4.19,524112,12.52,15.36," 55,749,263 ",טכנולוגיה," 683,799 "," 443,502 ",64.8585," 80,497 "," 81,036 "," 65,608 ",,1.73,9.00%,12.56%,31.11%,36.09%,37.54%,8916,34.46%,11000,13000,14.91%,-2.77%,11450
1087824,אל על," 2,061 ",2.43,0.2,-7.86,2741103,8.33,13.82," 411,394,957 ",מסחר ושרותים," 3,695,700 "," -91,200 ",-2.4677," 378,950 "," 250,678 "," 231,581 ",,,-0.62%,-6.57%,75.31%,26.89%,33.29%,37696,36.60%,490.1,554,2.22%,-9.57%,504
1090315,דמרי," 5,331 ",15.87,3.36,2.41,1585380,21.19,33.66," 19,176,091 ",נדלן ובניה," 6,392,663 "," 2,207,344 ",34.5293," 533,660 "," 425,518 "," 335,922 "," 92,000 ",1.81,-3.13%,0.97%,17.87%,35.60%,57.83%,4378,26.81%,27100,31000,2.58%,-10.32%,29420
1091065,מיטרוניקס," 1,995 ",19.69,1.1,2.57,1821102,5.56,11.07," 109,741,762 ",טכנולוגיה," 2,411,844 "," 853,314 ",35.3801," 201,684 "," 143,330 "," 114,817 "," 135,000 ",1.1,-39.72%,-54.69%,-49.44%,-58.10%,-69.77%,12980,122.37%,1705,3390,11.96%,-43.69%,3167
1094044,אלקטרה נדלן," 2,043 ",-5.96,-7.52,1.68,-73063,,," 60,084,208 ",נדלן ובניה," 780,308 "," 332,474 ",42.608," -81,840 "," -114,604 "," -91,680 ",,1.8,-7.03%,-11.62%,-11.26%,-14.06%,-3.83%,2873,23.48%,3358,3748,1.28%,-9.26%,3658
1095264,קמטק," 16,975 ",52.97,13.43,10.29,339928,25.35,21.31," 44,263,483 ",טכנולוגיה," 816,306 "," 443,578 ",54.3397," 72,455 "," 95,173 "," 86,186 ",,1.59,34.43%,34.89%,59.87%,258.25%,213.73%,29136,43.44%,29740,40530,28.95%,-5.38%,30030
1095819,פריון נטוורק," 2,193 ",5.6,0.78,0.8,755825,13.94,15.8," 47,991,344 ",טכנולוגיה," 1,006,451 "," 734,694 ",72.9985," 119,435 "," 123,750 "," 105,396 ",,,-1.78%,-43.16%,-56.92%,-59.69%,-10.46%,10478,32.51%,4203,5225,8.73%,-12.54%,4709
1095835,איירפורט סיטי," 6,734 ",22.25,6.48,0.68,1038772,29.13,55.25," 120,243,460 ",נדלן ובניה," 18,451,003 "," 9,988,993 ",54.1379," 573,907 "," 425,643 "," 306,568 ",,,-4.41%,-11.23%,-9.19%,11.63%,-7.40%,7534,20.00%,5184,6029,8.02%,-7.12%,5764
1097260,ביג," 9,163 ",10.58,3.82,0.83,2399566,36.08,78.47," 24,434,615 ",נדלן ובניה," 36,982,980 "," 12,311,469 ",33.2896," 1,883,011 "," 1,203,663 "," 976,443 "," 200,000 ",1.96,-6.18%,-6.84%,10.48%,22.93%,-4.98%,16412,18.71%,35640,39990,6.62%,-4.98%,38700
1097278,אמות," 6,884 ",9.54,6.16,0.79,1117919,64.52,109.52," 471,500,780 ",נדלן ובניה," 20,443,433 "," 8,768,400 ",42.891," 1,224,324 "," 867,405 "," 721,253 "," 605,088 ",5.61,-8.38%,-16.89%,-18.24%,-11.52%,-15.55%,12904,20.04%,1428,1660.23,3.29%,-11.16%,1582.63
1097948,אפריקה מגורים," 2,774 ",16.2,2.62,1.61,1056838,16.2,22.06," 12,643,536 ",נדלן ובניה," 4,052,813 "," 1,797,416 ",44.3498," 233,117 "," 219,074 "," 171,729 "," 70,000 ",3.53,-4.98%,-7.64%,11.74%,35.85%,43.25%,3690,29.72%,20930,25050,4.83%,-12.42%,23090
1098565,רבוע נדלן," 3,257 ",4.52,5.67,0.93,574061,125.45,169.52," 12,199,163 ",נדלן ובניה," 9,887,922 "," 3,501,958 ",35.4165," 973,135 "," 911,996 "," 720,806 "," 220,000 ",16.39,-5.89%,9.44%,20.93%,40.21%,40.59%,2777,35.48%,25200,29240,5.95%,-8.69%,28370
1098920,ריט 1," 2,714 ",7.21,7.07,0.68,383924,98,137.88," 194,525,510 ",נדלן ובניה," 8,172,160 "," 4,039,498 ",49.43," 529,372 "," 378,862 "," 378,862 "," 137,511 ",5.19,-8.88%,-14.15%,-13.14%,-2.53%,-10.63%,6159,24.38%,1336.57,1585.76,3.62%,-12.66%,1507.95
1100007,פז נפט," 4,075 ",37.05,0.32,1.23,12888000,0.85,5.36," 10,668,831 ",חיפושי נפט וגז," 11,545,000 "," 3,305,000 ",28.6271," 691,000 "," 524,000 "," 110,000 "," 60,000 ",4.01,-1.11%,8.16%,19.80%,57.52%,50.40%,7280,39.57%,32700,38300,16.82%,-0.26%,37810
1101534,סלקום," 2,384 ",24.59,0.53,1.03,1199065.59,2.17,7.3," 165,568,903 ",מסחר ושרותים," 1,824,931 "," 621,230 ",34.0413," 87,528 "," 41,051 "," 26,073 ",,,-10.37%,-5.65%,13.45%,3.79%,14.16%,2460,33.76%,1375,1682,4.73%,-14.39%,1630
1102128,פרשקובסקי," 1,728 ",67.15,4.34,0.96,398485,6.46,18.61," 21,068,551 ",נדלן ובניה," 5,060,361 "," 1,798,866 ",35.5482," 74,146 "," 35,530 "," 25,729 ", -   ,0.92,-6.45%,-12.40%,3.59%,9.78%,-17.31%,2506,25.80%,7800,9000,5.13%,-8.89%,8770
1104249,רמי לוי," 2,852 ",12.12,0.4,5.38,7165668,3.28,4.88," 13,775,583 ",מסחר ושרותים," 4,312,120 "," 601,578 ",13.9509," 349,837 "," 324,137 "," 243,644 "," 211,000 ",6.95,-0.24%,-3.19%,2.23%,0.25%,17.69%,6339,10.61%,19990,21090,3.55%,-1.85%,20820
1104488,מגה אור," 3,876 ",7.35,15.53,1.43,249558,211.41,217.98," 36,602,816 ",נדלן ובניה," 7,713,142 "," 2,826,379 ",36.6437," 543,978 "," 679,226 "," 550,856 "," 120,000 ",2.78,-9.33%,-2.98%,28.03%,33.59%,-10.27%,3004,27.19%,8650,10140,2.91%,-12.21%,9818
1107663,בי קומיונקיישנס," 1,322 ",23262.23,,5.76,,,," 104,162,263 ",מסחר ושרותים," 4,913,612 "," 737,233 ",15.0039,,,,,,-0.70%,-6.48%,-10.27%,6.03%,77.74%,1365,34.79%,1203,1388,5.49%,-8.57%,1278
1109644,סלע נדלן," 1,490 ",8.42,4.02,0.63,370800,47.73,80.53," 222,335,950 ",נדלן ובניה," 5,711,265 "," 2,347,077 ",41.0956," 298,600 "," 177,000 "," 177,000 "," 106,616 ",5.24,-9.24%,-12.39%,-18.55%,3.98%,-6.68%,4719,26.48%,670.2,780.1,0.12%,-13.99%,755.8
1119478,עזריאלי קבוצה," 29,530 ",12.77,9.89,1.29,2985000,77.45,85.36," 121,272,760 ",נדלן ובניה," 53,788,000 "," 22,870,000 ",42.5188," 2,548,000 "," 2,945,000 "," 2,305,000 "," 650,000 ",3.08,-6.97%,-8.75%,8.75%,20.62%,1.16%,30166,21.68%,21920,24780,11.09%,-1.74%,24100
1123355,אנרג'יקס," 8,461 ",49.89,13.74,3.68,615842,27.54,64.22," 549,384,599 ",טכנולוגיה," 10,417,694 "," 2,302,110 ",22.0981," 395,471 "," 137,601 "," 170,288 "," 100,576 ",4.01,8.65%,16.91%,33.53%,35.43%,35.50%,12456,30.38%,1413,1570,8.99%,-1.91%,1410
1123850,קרסו מוטורס," 1,655 ",9.37,0.35,0.88,4680810,3.77,9.23," 89,450,557 ",מסחר ושרותים," 7,170,913 "," 1,888,067 ",26.3295," 431,841 "," 233,958 "," 176,698 "," 200,000 ",10.21,0.06%,3.75%,44.29%,13.43%,61.09%,2396,16.98%,1776,1919,4.17%,-3.60%,1800
1129501,איידיאיי ביטוח," 1,590 ",9.03,0.54,1.74,2921684,6.03,," 14,685,109 ",ביטוח," 6,846,306 "," 912,832 ",13.3332,," 260,239 "," 176,061 "," 110,000 ",7.33,0.28%,-6.96%,20.26%,40.32%,5.58%,4217,23.19%,10470,11710,3.44%,-7.51%,10800
1129543,אופקו הלת'," 3,478 ",-3.71,1.17,0.75,799599,-31.57,-24.9," 682,029,288 ",ביומד," 1,974,016 "," 1,252,808 ",63.4649," -199,113 "," -250,511 "," -252,457 ",,,15.83%,43.29%,-9.33%,2.83%,-57.11%,1628,39.47%,427,535,19.67%,-4.49%,461.9
1131523,מגדלי תיכון," 1,211 ",5.54,5.02,0.95,241563,90.56,157.2," 150,490,898 ",נדלן ובניה," 5,806,372 "," 1,520,543 ",26.1875," 379,743 "," 307,624 "," 237,975 "," 80,000 ",5.97,0.61%,-12.63%,8.11%,9.45%,-0.86%,2268,23.68%,780,872.7,3.21%,-7.76%,800.1
1132315,אשטרום קבוצה," 4,735 ",-456.93,1.01,0.99,4678050,-0.22,6.48," 101,386,326 ",נדלן ובניה," 21,174,731 "," 4,984,234 ",23.5386," 303,134 "," -38,815 "," -4,398 "," 300,000 ",3.64,-10.36%,-20.09%,-11.79%,-6.69%,-31.10%,16835,37.39%,4548,5392,2.24%,-13.76%,5185
1132356,אינרום," 1,587 ",8.76,1.6,1.51,992657,18.25,25.4," 145,742,221 ",תעשיה," 1,641,678 "," 1,054,199 ",64.2147," 252,101 "," 241,133 "," 181,175 "," 33,258 ",1.37,-12.29%,-11.91%,7.52%,-15.38%,-32.45%,4155,35.13%,1050,1258,3.71%,-13.43%,1229
1133875,שפיר הנדסה," 6,825 ",49.1,1.34,2.25,5082000,2.74,9.21," 357,305,612 ",תעשיה," 15,114,000 "," 3,742,000 ",24.7585," 468,000 "," 207,000 "," 164,000 "," 70,000 ",0.75,-7.85%,-13.82%,-15.70%,-23.21%,-24.51%,6398,24.61%,1850,2091,3.68%,-8.27%,2039
1134139,קנון," 4,813 ",-5.49,1.87,1.08,691796,-34.11,5.02," 52,776,671 ",השקעות ואחזקות," 4,108,440 "," 2,070,224 ",50.3895," 34,744 "," 14,731 "," -235,978 ",,14.65,9.73%,22.68%,33.85%,18.03%,40.77%,5194,23.59%,8292,9486,9.99%,-3.86%,8551
1134402,אורמת טכנו," 16,829 ",33.79,5.21,1.92,868358,15.43,19.84," 56,095,918 ",טכנולוגיה," 5,516,844 "," 2,486,631 ",45.0734," 172,268 "," 136,384 "," 133,957 ",,0.51,13.07%,20.62%,11.59%,-10.97%,25.88%,17522,22.25%,24412.27,27500,22.89%,9.09%,24242.46
1140573,מניבים ריט," 1,250 ",8.29,5.97,0.78,209471,71.96,99.3," 746,724,963 ",נדלן ובניה," 3,412,535 "," 1,592,519 ",46.6667," 208,000 "," 150,743 "," 150,743 "," 76,000 ",7.17,-0.30%,-4.06%,2.50%,14.30%,-5.30%,2808,27.25%,161,177.6,4.91%,-4.90%,167.9
1141357,תמר פטרוליום," 1,912 ",9.28,2.17,1.29,237416,23.34,41.65," 88,495,576 ",חיפושי נפט וגז," 1,215,402 "," 397,196 ",32.6802," 98,890 "," 66,249 "," 55,404 "," 12,000 ",4.9,-0.23%,13.50%,44.36%,113.45%,417.80%,1526,20.70%,2041,2177,5.88%,-0.73%,2166
1141571,או פי סי אנרגיה," 7,856 ",79.35,2.94,2.02,2671000,3.71,15.69," 224,444,498 ",חיפושי נפט וגז," 12,580,000 "," 5,274,000 ",41.9237," 419,000 "," 179,000 "," 105,000 "," 200,000 ",,0.03%,12.35%,24.07%,26.91%,-15.34%,6913,28.26%,2718,3030,28.77%,15.51%,2869
1141969,נאוויטס פטר יהש," 3,923 ",168.64,11.58,2.79,91097,6.87,25.82," 99,838,252 ",חיפושי נפט וגז," 1,336,809 "," 450,534 ",33.7022," 23,519 "," 22,465 "," 17,116 ",,,2.05%,-5.69%,24.94%,116.64%,112.89%,9961,41.51%,3630,4399,8.24%,-10.68%,3850
1143429,פתאל החזקות," 6,821 ",87.33,0.96,2.1,7088817,1.1,16.57," 16,436,727 ",מסחר ושרותים," 27,100,482 "," 3,337,926 ",12.3169," 1,174,527 "," 99,996 "," 78,711 "," 60,000 ",1.01,-6.32%,-13.03%,10.34%,27.44%,21.37%,17336,25.57%,41500,47900,2.87%,-10.88%,45570
1155290,אנרג'יאן," 10,457 ",70.28,9.16,19.43,1142054.54,13.03,41.8," 183,480,959 ",חיפושי נפט וגז," 4,536,920 "," 538,214 ",11.863," 477,365 "," 276,871 "," 148,775 ",,8.55,6.89%,18.95%,21.16%,17.28%,73.12%,15231,16.38%,5156,5624,13.62%,4.16%,5211
1157403,ישראכרט," 2,546 ",9.75,0.81,0.84,3138000,8.32,11.19," 200,439,020 ",שירותים פיננסים," 24,322,000 "," 3,034,000 ",12.4743," 351,000 "," 351,000 "," 262,000 "," 147,798 ",2.98,-5.25%,-7.43%,-11.18%,-15.10%,7.62%,14295,33.14%,1240,1392,2.42%,-8.76%,1353
1159029,הבורסה לניע בתא," 2,357 ",28.25,5.92,3.74,398132,20.96,15.39," 92,444,048 ",שירותים פיננסים," 2,757,310 "," 630,705 ",22.8739," 61,289 "," 111,441 "," 83,435 "," 22,735 ",13.1,4.29%,5.64%,47.66%,72.08%,53.39%,5336,28.21%,2396,2695,6.43%,-5.38%,2445
1161264,יוחננוף," 2,812 ",18.81,0.67,2.08,4169806,3.58,6.6," 14,487,860 ",מסחר ושרותים," 4,083,687 "," 1,375,922 ",33.6931," 275,303 "," 196,247 "," 150,626 "," 100,048 ",3.36,0.26%,12.75%,43.46%,21.14%,6.31%,1195,23.66%,18780,20170,3.35%,-3.77%,19360
1166768,דוראל אנרגיה," 1,948 ",-40.29,16.26,0.98,119848,-40.35,-63.28," 177,754,863 ",טכנולוגיה," 4,579,274 "," 2,003,870 ",43.7596," -75,842 "," -74,450 "," -68,254 ",,,3.10%,42.11%,93.35%,49.10%,-24.30%,2623,35.56%,1001,1124,9.49%,-2.49%,1066
1166974,משק אנרגיה," 1,990 ",189.58,23.98,0.83,82982,12.65,16.78," 710,578,357 ",חיפושי נפט וגז," 3,503,682 "," 2,379,731 ",67.9209," 13,923 "," 3,181 "," 9,800 ",,,5.99%,-7.78%,-0.15%,-29.18%,-24.79%,1806,26.74%,240,278.8,16.67%,0.43%,262
1168186,מימון ישיר," 1,546 ",11.82,1.13,1.2,1364049,9.58,15.29," 2,956,844 ",שירותים פיננסים," 8,280,413 "," 1,321,493 ",15.9593," 208,552 "," 208,459 "," 131,642 "," 104,253 ",5.08,6.63%,8.98%,39.71%,23.73%,-8.58%,4305,20.54%,47030,54360,11.14%,-3.84%,49020
1168533,מספנות ישראל," 1,517 ",20.1,1.08,1.67,1402766,5.38,7.32," 25,000,000 ",השקעות ואחזקות," 1,706,327 "," 916,824 ",53.7308," 102,614 "," 93,341 "," 74,044 "," 30,000 ",0.94,-6.52%,-15.48%,-12.86%,-13.99%,-5.23%,382,26.66%,5978,6825,1.52%,-11.08%,6492
1170877,נופר אנרג'י," 3,202 ",-38.41,11.06,1.78,289583,-28.78,-27.02," 35,540,512 ",טכנולוגיה," 6,181,984 "," 2,722,716 ",44.0428," -78,242 "," -140,195 "," -109,408 ",,,-0.12%,0.25%,3.12%,2.70%,-3.98%,3390,35.87%,8201,9215,9.85%,-2.24%,9111
1173137,דניה סיבוס," 2,328 ",12.31,0.43,3.05,5455713,3.47,3.72," 31,334,889 ",נדלן ובניה," 2,691,746 "," 763,562 ",28.3668," 202,833 "," 238,293 "," 189,070 "," 120,000 ",2.69,-10.22%,-16.79%,-19.93%,-8.51%,16.31%,2882,23.87%,7298.18,8623.51,1.81%,-13.84%,8275.46
1173699,דלתא מותגים," 1,600 ",11.93,1.63,2.78,984615,13.63,17.59," 25,000,000 ",מסחר ושרותים," 1,163,705 "," 575,203 ",49.4286," 173,231 "," 172,975 "," 134,161 "," 56,244 ",5.01,9.76%,12.41%,69.89%,76.80%,13.69%,3007,40.88%,5543.94,6800,15.46%,-5.87%,5832.07
1175116,נאייקס," 3,432 ",-60.24,3.74,5.83,247048,-6.2,-3.51," 35,900,672 ",טכנולוגיה," 403,878 "," 158,187 ",39.167," -8,683 ",," -15,323 ",,,-4.31%,-4.67%,31.27%,48.09%,-3.36%,8088,51.02%,8718,11120,11.84%,-12.32%,9990
1175488,ריטיילורס," 3,694 ",29.74,1.87,4.14,1977218,6.28,9.52," 48,493,890 ",מסחר ושרותים," 2,814,963 "," 904,746 ",32.1406," 188,238 "," 165,359 "," 125,468 "," 36,430 ",3.3,-4.85%,-7.85%,12.94%,10.83%,38.19%,4500,41.29%,7362,9067,3.46%,-15.99%,8005
1175611,תורפז," 1,758 ",37.96,3.49,4.3,135457,9.2,14.38," 100,368,861 ",תעשיה," 286,313 "," 115,067 ",40.1892," 19,473 "," 16,036 "," 13,195 ",,0.95,-5.04%,30.99%,65.26%,75.49%,40.03%,3648,39.67%,1652,1845,6.05%,-5.04%,1845
1176205,קבוצת אקרשטיין," 1,524 ",17.46,1.56,1.36,976518,8.93,12.68," 287,510,000 ",תעשיה," 1,832,785 "," 1,118,113 ",61.0062," 123,841 "," 109,072 "," 87,366 "," 25,000 ",3.38,-11.63%,14.67%,17.05%,34.93%,%,1278,42.02%,529.5,642,0.09%,-17.45%,599.2
1176387,ורידיס," 2,612 ",-23.45,0.98,1.43,2670067,-4.17,2.05," 145,165,310 ",טכנולוגיה," 5,613,321 "," 1,824,680 ",32.5062," 54,688 "," -128,477 "," -120,586 "," 32,000 ",0.77,11.95%,-8.41%,-14.06%,9.01%,%,1800,55.82%,1598,1828,12.58%,-1.59%,1607
1176593,נקסט ויז'ן," 4,557 ",32.23,17.35,15.05,70645,53.84,57.29," 79,260,350 ",טכנולוגיה," 96,508 "," 81,426 ",84.3723," 40,473 "," 43,784 "," 38,038 ",,1.34,13.77%,32.46%,106.66%,290.18%,%,20291,39.46%,4918,5926,16.10%,-3.64%,5019
1184902,אקרו," 2,235 ",86.1,2.56,1.23,872224,2.98,10.05," 61,160,841 ",נדלן ובניה," 6,213,737 "," 2,135,926 ",34.3743," 87,659 "," 57,157 "," 42,423 "," 25,000 ",0.36,-9.03%,-19.97%,-3.06%,37.62%,%,1674,34.98%,3512,4300,4.07%,-15.00%,4018
1187962,קרסו נדלן," 1,403 ",62.68,3.14,1.09,446327,5.02,18.7," 54,158,516 ",נדלן ובניה," 3,836,633 "," 1,307,598 ",34.0819," 83,464 "," 22,493 "," 22,565 ",,,-3.28%,-9.56%,-2.68%,13.56%,%,789,36.01%,2446,2789,5.93%,-7.10%,2679
1188242,שוב אנרגיה," 2,512 ",18.37,21.15,1.41,118796,115.09,174.42," 916,776,440 ",חיפושי נפט וגז," 4,933,008 "," 1,777,240 ",36.0275," 207,207 "," 233,793 "," 136,634 ",,,5.71%,-6.01%,5.71%,-13.22%,%,739,30.30%,252.5,276.9,8.51%,-1.05%,255.6
1202977,ישרס אחזקות," 1,922 ",,,0.68,,,," 6,401,362 ",נדלן ובניה," 9,848,602 "," 4,896,547 ",49.7182,,,,,,2.60%,0.33%,%,%,%,2380,35.28%,27880,32850,7.71%,-8.58%,29270
2590248,בזן," 3,128 ",3.35,0.1,0.47,8259104,3.04,4.73," 3,128,222,577 ",חיפושי נפט וגז," 4,634,188 "," 1,771,885 ",38.2351," 390,668 "," 305,303 "," 251,426 ",,16.62,-8.73%,-24.37%,-5.14%,16.53%,72.20%,9379,34.17%,95.5,111,4.71%,-9.91%,110
5010129,אלקטרה צריכה," 1,833 ",-25.4,0.27,2.89,6758536,-1.07,0.74," 23,204,048 ",מסחר ושרותים," 7,929,768 "," 1,032,417 ",13.0195," 49,779 "," -163,138 "," -226,344 "," 60,000 ",,-1.10%,-11.40%,8.45%,-14.04%,-50.71%,1956,39.10%,7031,8310,12.36%,-4.93%,7988
