סמל היישוב,שם היישוב,המעמד המוניציפלי או שם המועצה האזורית,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 ינואר עד מרץ
662,חוסן,מעלה יוסף,10,5,2,3,5,8,10,4,1,1
1332,חוסנייה,משגב,2,1,1,9,11,6,7,3,7,1
115,חופית,עמק חפר,4,3,4,1,1,1,0,0,3,0
374,חוקוק,עמק הירדן,0,8,1,1,6,5,2,9,6,0
1303,חורה,מועצה מקומית,114,119,60,30,87,114,127,131,117,24
496,חורפיש,מועצה מקומית,6,9,11,20,14,14,47,71,42,5
355,חורשים,דרום השרון,1,0,0,1,1,1,3,2,17,1
1047,חזון,מרום הגליל,0,0,0,0,0,1,11,4,4,1
219,חיבת ציון,עמק חפר,5,1,8,30,13,7,2,0,5,0
4000,חיפה,עירייה,"1,132",965,"2,458",647,402,365,756,"1,546","1,548",193
162,חירות,לב השרון,4,2,1,4,0,2,1,0,2,1
1272,חלוץ,משגב,1,0,5,10,7,4,0,1,2,0
820,חלץ,חוף אשקלון,0,0,3,11,9,9,7,13,15,2
801,"חמ""ד",שדות דן,9,7,5,0,1,0,1,1,6,0
343,חמדיה,עמק המעיינות,1,0,1,1,1,4,2,4,5,0
807,חניאל,עמק חפר,2,3,1,1,2,1,0,1,0,0
280,חניתה,מטה אשר,1,1,0,0,0,0,0,0,4,0
1257,חנתון,עמק יזרעאל,12,3,1,2,2,0,0,0,2,0
4005,חספין,גולן,11,5,4,3,2,12,15,6,12,7
363,חפץ חיים,נחל שורק,0,4,0,0,11,8,3,4,8,0
90,חפצי-בה,הגלבוע,20,3,0,4,1,1,2,2,2,0
700,חצב,באר טוביה,4,1,1,0,1,1,3,2,1,0
13,חצבה,הערבה התיכונה,6,2,0,0,6,5,11,15,10,4
2034,חצור הגלילית,מועצה מקומית,54,78,63,32,61,122,58,4,2,1
406,חצור-אשדוד,באר טוביה,0,0,0,2,0,0,44,0,0,0
397,חצרים,בני שמעון,29,1,1,1,20,0,0,52,0,0
422,חרב לאת,עמק חפר,2,7,6,1,2,0,0,0,2,0
1024,חרוצים,חוף השרון,4,1,0,4,2,1,0,1,2,1
1247,חריש,עירייה,"4,133","1,253","2,480",767,"1,711",156,326,172,1,0
1209,חרשים,משגב,3,5,2,2,1,1,1,0,2,0
6700,טבריה,עירייה,407,515,304,185,137,232,203,462,954,388
962,טובא-זנגרייה,מועצה מקומית,21,24,21,24,14,22,4,24,15,4
498,טורעאן,מועצה מקומית,78,96,68,73,90,63,30,106,144,19
2730,טייבה,עירייה,50,128,156,56,96,75,100,77,65,16
497,טייבה (בעמק),הגלבוע,22,3,3,5,2,9,6,9,8,3
2720,טירה,עירייה,74,81,112,140,43,57,101,120,57,32
663,טירת יהודה,חבל מודיעין,1,2,0,1,0,0,0,2,1,0
2100,טירת כרמל,עירייה,466,690,123,"1,356",362,410,376,206,5,0
268,טירת צבי,עמק המעיינות,4,8,6,7,6,5,5,6,5,2
462,טל שחר,מטה יהודה,3,3,1,4,2,1,0,2,0,3
1181,טל-אל,משגב,14,0,1,0,2,11,13,5,0,0
1177,טללים,רמת נגב,11,10,0,1,0,1,8,3,7,0
8900,טמרה,עירייה,90,83,91,117,39,31,52,46,89,17
547,טמרה (יזרעאל),הגלבוע,0,0,6,0,5,3,0,0,0,0
1214,טפחות,מרום הגליל,0,0,0,0,0,0,1,0,0,0
1295,יאנוח-ג'ת,מועצה מקומית,20,31,33,27,19,14,39,53,43,7
1232,יבול,אשכול,3,1,3,3,0,4,3,7,4,1
46,יבנאל,מועצה מקומית,17,22,8,10,14,4,13,25,18,0
2660,יבנה,עירייה,196,205,668,"1,220","1,201",222,460,480,345,16
96,יגור,זבולון,10,5,0,16,22,0,0,0,0,0
798,יגל,שדות דן,4,1,0,0,1,0,0,0,2,0
577,יד בנימין,נחל שורק,15,12,4,35,5,2,3,2,0,0
1134,יד השמונה,מטה יהודה,1,0,0,0,0,0,0,0,0,0
758,יד חנה,עמק חפר,8,3,0,7,10,3,3,1,2,0
358,יד מרדכי,חוף אשקלון,0,0,0,0,30,11,0,4,2,1
775,יד נתן,לכיש,5,4,1,2,1,1,1,2,0,0
64,"יד רמב""ם",גזר,2,1,1,2,0,1,0,0,3,0
9400,יהוד-מונוסון,עירייה,110,321,309,376,404,9,15,126,183,14
1158,יהל,חבל אילות,3,6,0,1,0,0,2,1,0,9
2009,יובל,מבואות החרמון,0,0,0,0,2,8,16,5,1,0
1226,יובלים,משגב,14,1,0,0,0,0,1,0,0,0
1112,יודפת,משגב,22,6,5,3,2,9,2,2,0,0
4007,יונתן,גולן,10,6,3,7,4,3,5,10,5,1
803,יושיביה,שדות נגב,11,4,3,5,6,4,1,3,1,0
452,יזרעאל,הגלבוע,0,0,0,0,0,0,6,0,9,0
409,יחיעם,מטה אשר,6,22,4,3,5,0,4,0,5,0
866,יטבתה,חבל אילות,0,12,0,0,12,0,12,0,0,0
,"יישובים המונים פחות מ-10,000 תושבים באזור יהודה ושומרון",שומרון,"1,223","1,617","1,461",919,898,970,"1,971","1,494","1,649",134
811,יכיני,שער הנגב,1,0,3,2,8,6,7,5,2,1
753,ינוב,לב השרון,3,3,2,1,1,1,0,1,3,1
2011,ינון,באר טוביה,0,3,2,2,1,1,2,0,0,0
29,יסוד המעלה,מועצה מקומית,7,6,7,6,5,4,4,7,1,1
440,יסודות,נחל שורק,2,0,1,1,1,0,0,3,8,2
575,יסעור,מטה אשר,9,5,2,1,15,7,2,1,5,0
1138,יעד,משגב,1,0,0,13,8,0,25,1,0,0
1044,יעף,לב השרון,0,1,1,0,0,0,0,0,0,0
795,יערה,מעלה יוסף,6,2,0,0,6,10,8,8,4,2
499,יפיע,מועצה מקומית,84,80,69,59,64,40,103,162,131,35
134,יפעת,עמק יזרעאל,11,3,3,2,0,4,21,4,1,0
453,יפתח,הגליל העליון,4,4,1,0,1,2,2,3,1,0
759,יציץ,גזר,4,2,1,0,0,0,2,4,2,1
417,יקום,חוף השרון,0,4,0,5,7,3,0,1,3,2
241,יקנעם (מושבה),מגידו,7,6,4,1,4,4,6,12,17,0
240,יקנעם עילית,עירייה,56,410,14,0,4,521,36,271,36,57
2026,ירדנה,עמק המעיינות,3,8,1,2,4,2,4,3,9,0
831,ירוחם,מועצה מקומית,190,75,217,31,30,82,40,46,43,14
3000,ירושלים,עירייה,"2,380","2,621","2,986","3,727","2,610","2,516","3,546","8,209","8,029","1,589"
718,ירחיב,דרום השרון,4,2,0,1,7,3,2,7,1,1
502,ירכא,מועצה מקומית,43,28,25,21,35,66,79,51,44,3
183,ירקונה,דרום השרון,0,0,0,1,1,0,0,0,0,0
916,ישע,אשכול,4,3,2,2,4,7,4,2,5,2
805,ישעי,מטה יהודה,2,5,12,11,4,2,3,3,2,1
828,ישרש,גזר,1,2,2,0,2,0,0,1,0,0
1227,יתד,אשכול,14,5,16,20,20,2,0,1,5,1
504,כאבול,מועצה מקומית,59,26,70,51,18,13,55,29,57,8
505,כאוכב אבו אל-היג'א,מועצה מקומית,31,24,28,6,0,10,11,31,41,9
576,כברי,מטה אשר,6,1,2,2,0,0,0,0,1,4
371,כדורי,הגליל התחתון,0,1,0,0,0,0,0,0,0,0
1224,כוכב יאיר,מועצה מקומית,7,5,2,14,116,19,41,10,9,2
824,כוכב מיכאל,חוף אשקלון,9,6,7,4,2,1,1,2,4,0
1252,כורזים,מבואות החרמון,2,0,1,0,0,0,0,2,25,4
1210,כחל,מבואות החרמון,8,4,12,0,3,7,3,2,4,4
840,כיסופים,אשכול,1,0,1,1,6,4,0,1,1,0
1153,כישור,משגב,1,1,1,5,5,3,3,0,0,0
1229,כלנית,מרום הגליל,1,6,1,1,1,1,2,4,1,0
1331,כמאנה,משגב,5,7,20,14,13,34,36,37,28,7
1291,כמהין,רמת נגב,1,1,0,1,0,0,0,0,0,0
1201,כמון,משגב,6,6,4,2,4,2,2,2,7,3
4028,כנף,גולן,1,2,4,1,5,1,1,1,1,0
63,כנרת (מושבה),עמק הירדן,0,3,2,3,2,1,3,4,7,0
57,כנרת (קבוצה),עמק הירדן,11,12,18,16,0,1,0,1,4,0
1059,כסיפה,מועצה מקומית,72,33,20,32,57,69,70,121,88,19
859,כסלון,מטה יהודה,0,2,1,0,1,0,1,2,0,0
1296,כסרא-סמיע,מועצה מקומית,36,34,20,43,26,40,47,45,82,24
978,כעביה-טבאש-חג'אג'רה,מועצה מקומית,37,21,17,22,33,29,30,23,39,5
857,כפר אביב,גדרות,3,4,0,2,0,2,0,2,1,1
364,כפר אוריה,מטה יהודה,3,0,4,2,2,1,2,4,2,0
690,כפר אחים,באר טוביה,3,3,3,2,0,1,1,1,4,1
220,כפר ביאליק,זבולון,1,3,3,0,1,1,2,2,4,2
177,"כפר ביל""ו",גזר,3,0,2,1,2,1,0,4,2,0
357,כפר בלום,הגליל העליון,11,3,2,1,0,2,0,8,6,2
2010,כפר בן נון,גזר,4,1,3,3,1,2,0,0,0,0
633,כפר ברא,מועצה מקומית,22,26,17,8,1,30,13,67,238,4
132,כפר ברוך,עמק יזרעאל,2,2,2,1,9,22,11,13,6,5
106,כפר גדעון,עמק יזרעאל,0,1,0,0,1,0,0,1,0,1
310,כפר גליקסון,מנשה,0,0,0,0,0,3,0,3,0,0
76,כפר גלעדי,הגליל העליון,5,13,9,15,3,0,0,0,0,0
707,כפר דניאל,חבל מודיעין,0,0,1,0,0,0,0,1,0,1
192,כפר החורש,עמק יזרעאל,3,27,2,1,0,0,7,2,1,0
254,כפר המכבי,זבולון,0,0,0,0,0,0,0,13,6,14
582,כפר הנגיד,גן רווה,0,2,1,1,1,2,2,1,5,0
443,כפר הנשיא,הגליל העליון,2,1,0,0,1,0,2,0,0,1
187,כפר הס,לב השרון,4,5,0,1,2,3,7,1,1,0
217,"כפר הרא""ה",עמק חפר,1,2,0,1,0,0,1,0,1,1
888,"כפר הרי""ף",יואב,1,5,1,1,0,1,4,2,0,0
190,כפר ויתקין,עמק חפר,4,1,2,0,4,0,0,0,1,0
320,כפר ורבורג,באר טוביה,5,2,2,1,0,0,0,2,0,1
1263,כפר ורדים,מועצה מקומית,45,19,66,46,68,86,40,84,56,3
786,כפר זיתים,הגליל התחתון,3,4,3,3,1,1,2,3,1,0
696,"כפר חב""ד",שדות דן,3,5,4,6,2,2,0,1,3,1
609,כפר חושן,מרום הגליל,1,11,5,0,2,5,4,5,2,1
255,כפר חיטים,הגליל התחתון,1,3,1,0,2,0,4,0,0,0
193,כפר חיים,עמק חפר,3,5,1,0,1,0,0,0,0,1
1297,כפר חנניה,מרום הגליל,1,2,2,1,1,1,0,0,0,0
112,כפר חסידים א',זבולון,2,2,4,2,4,0,1,2,1,0
889,כפר חסידים ב',זבולון,0,0,1,0,0,1,0,0,0,0
4004,כפר חרוב,גולן,1,3,12,4,5,5,3,9,4,0
673,כפר טרומן,חבל מודיעין,0,3,0,1,2,0,3,1,1,1
507,כפר יאסיף,מועצה מקומית,62,57,41,27,31,28,31,72,65,11
233,כפר ידידיה,עמק חפר,0,1,1,0,1,2,0,0,1,0
140,כפר יהושע,עמק יזרעאל,1,15,5,6,4,1,4,2,4,1
168,כפר יונה,עירייה,28,737,594,403,519,70,80,277,38,127
85,כפר יחזקאל,הגלבוע,4,4,4,0,1,11,15,17,13,1
170,כפר יעבץ,לב השרון,2,0,0,0,0,0,0,1,21,2
508,כפר כמא,מועצה מקומית,8,10,16,14,8,18,8,26,26,5
509,כפר כנא,מועצה מקומית,125,117,91,99,103,89,127,108,186,19
387,כפר מונש,עמק חפר,2,1,0,2,4,1,0,0,3,0
1095,כפר מימון,שדות נגב,9,7,10,6,4,10,3,0,3,0
98,"כפר מל""ל",דרום השרון,0,2,0,2,1,2,1,1,0,1
510,כפר מנדא,מועצה מקומית,192,135,146,38,16,28,52,138,343,24
274,כפר מנחם,יואב,2,0,1,0,0,0,2,3,3,0
297,כפר מסריק,מטה אשר,0,0,12,3,1,15,3,1,0,0
512,כפר מצר,בוסתן אל-מרג',11,2,1,5,1,3,3,2,0,2
764,כפר מרדכי,גדרות,1,4,0,0,4,0,0,2,3,0
316,כפר נטר,חוף השרון,4,0,0,0,2,0,0,2,0,1
345,כפר סאלד,הגליל העליון,0,9,8,9,3,7,2,2,0,0
6900,כפר סבא,עירייה,377,556,327,338,114,176,461,248,531,102
249,כפר סירקין,דרום השרון,21,12,3,5,2,0,5,5,4,2
845,כפר עזה,שער הנגב,0,2,5,19,12,6,0,0,5,0
189,כפר פינס,מנשה,0,0,3,1,0,0,0,0,0,2
634,כפר קאסם,עירייה,164,81,94,49,59,80,62,114,58,26
388,כפר קיש,הגליל התחתון,4,0,3,1,4,3,18,13,6,3
654,כפר קרע,עירייה,49,47,3,21,15,22,17,38,70,9
579,כפר ראש הנקרה,מטה אשר,5,6,3,4,0,1,1,0,0,0
1130,כפר רוזנואלד (זרעית),מעלה יוסף,0,3,1,1,0,1,0,0,0,1
295,כפר רופין,עמק המעיינות,2,4,1,0,1,1,1,1,4,4
1166,כפר רות,חבל מודיעין,2,1,1,0,0,1,0,0,0,0
605,כפר שמאי,מרום הגליל,1,1,4,0,1,0,0,0,0,0
743,כפר שמואל,גזר,1,2,1,3,2,1,1,3,2,0
267,כפר שמריהו,מועצה מקומית,8,2,9,6,6,9,2,4,5,3
47,כפר תבור,מועצה מקומית,55,51,15,38,25,15,7,21,16,8
1285,כרכום,מבואות החרמון,0,1,0,0,0,0,0,0,0,0
664,כרם בן זמרה,מרום הגליל,2,1,1,0,0,1,2,1,1,2
88,כרם בן שמן,חבל מודיעין,0,1,0,0,0,0,0,0,0,0
580,"כרם מהר""ל",חוף הכרמל,2,2,0,0,0,0,0,5,2,0
1085,כרם שלום,אשכול,0,1,0,0,8,0,0,0,0,0
1264,כרמי יוסף,גזר,7,4,4,4,4,1,7,5,0,0
1374,כרמי קטיף,לכיש,0,0,6,12,2,0,0,16,17,6
1139,כרמיאל,עירייה,102,128,66,235,272,238,19,421,291,2
768,כרמייה,חוף אשקלון,1,2,0,0,3,0,0,32,0,0
1198,כרמים,בני שמעון,0,1,0,0,1,0,36,2,0,0
1207,לבון,משגב,2,1,0,1,2,1,22,15,1,1
585,לביא,הגליל התחתון,0,0,0,0,0,0,0,2,0,0
1230,לבנים,מרום הגליל,1,0,1,0,1,9,15,13,7,1
2023,להב,בני שמעון,0,18,16,2,6,0,0,0,15,0
380,להבות הבשן,הגליל העליון,0,0,5,5,4,1,3,0,0,1
715,להבות חביבה,מנשה,0,0,14,8,1,2,1,3,3,2
1271,להבים,מועצה מקומית,8,4,382,68,72,84,77,60,30,7
7000,לוד,עירייה,157,"1,502",629,405,400,516,146,"2,148","3,155",137
52,לוזית,מטה יהודה,7,19,9,8,8,5,4,0,1,0
595,לוחמי הגיטאות,מטה אשר,19,0,0,4,20,1,12,6,7,2
1171,לוטם,משגב,5,2,5,3,6,1,1,0,2,0
1255,לוטן,חבל אילות,3,0,0,4,0,1,0,0,1,0
674,לימן,מטה אשר,4,0,1,1,3,1,12,14,9,1
24,לכיש,לכיש,12,30,14,10,5,5,4,6,3,0
1310,לפיד,חבל מודיעין,5,0,1,0,1,1,0,0,0,0
1173,לפידות,מעלה יוסף,0,0,4,2,0,1,0,1,0,0
1060,לקיה,מועצה מקומית,67,39,25,23,22,44,31,38,69,12
2055,מאור,מנשה,2,1,6,24,4,4,9,23,7,5
102,מאיר שפיה,חוף הכרמל,0,0,0,0,0,0,0,0,0,0
771,מבוא ביתר,מטה יהודה,7,9,6,7,0,1,1,2,5,0
4204,מבוא חמה,גולן,19,9,12,0,1,0,1,26,3,1
1141,מבוא מודיעים,חבל מודיעין,0,0,0,0,0,0,0,2,0,52
1080,מבועים,מרחבים,3,1,0,1,0,0,0,1,1,0
829,מבטחים,אשכול,0,0,0,0,0,1,2,1,0,0
573,מבקיעים,חוף אשקלון,2,2,0,3,0,2,2,2,6,4
1015,מבשרת ציון,מועצה מקומית,57,18,29,307,57,49,746,217,50,6
481,מגאר,עירייה,77,56,35,70,65,50,31,84,62,29
516,מג'ד אל-כרום,מועצה מקומית,4,7,5,4,3,24,28,82,98,21
689,מגדים,חוף הכרמל,1,0,0,0,2,0,1,6,5,2
65,מגדל,מועצה מקומית,31,22,44,17,49,15,12,55,30,4
874,מגדל העמק,עירייה,1,4,274,479,49,35,261,422,127,61
4201,מג'דל שמס,מועצה מקומית,42,71,62,37,35,70,47,52,52,8
586,מגידו,מגידו,3,2,2,0,3,3,6,4,0,0
375,מגל,מנשה,13,0,0,6,2,9,11,14,2,0
695,מגן,אשכול,0,0,0,1,1,15,0,0,0,0
1155,מגן שאול,הגלבוע,6,5,7,5,3,5,5,4,5,0
722,מגשימים,דרום השרון,1,2,1,5,2,2,1,0,1,0
2029,מדרך עוז,מגידו,6,1,1,1,1,0,1,1,1,0
1140,מדרשת בן גוריון,רמת נגב,9,9,2,4,3,7,53,13,11,0
897,מדרשת רופין,עמק חפר,0,0,0,146,0,0,0,0,0,0
3797,מודיעין עילית,עירייה,283,296,101,509,108,166,167,294,0,0
1200,מודיעין-מכבים-רעות,עירייה,"1,534",388,"1,433",515,533,"1,991","1,102",490,144,0
269,מולדת,הגלבוע,15,6,5,2,2,6,1,1,17,7
208,מוצא עילית,מטה יהודה,4,2,130,1,3,0,0,1,0,0
635,מוקייבלה,הגלבוע,39,15,2,7,16,27,3,13,19,5
1163,מורן,משגב,0,0,0,0,3,9,4,2,5,0
1178,מורשת,משגב,1,0,2,25,9,7,1,0,8,3
606,מזור,חבל מודיעין,1,2,1,0,0,0,0,1,0,0
28,מזכרת בתיה,מועצה מקומית,102,114,76,91,120,62,90,22,121,7
104,מזרע,עמק יזרעאל,3,3,24,5,1,0,0,0,2,1
517,מזרעה,מועצה מקומית,1,12,12,28,31,20,64,56,88,6
308,מחניים,הגליל העליון,5,1,2,7,3,3,1,0,3,1
776,מחסיה,מטה יהודה,0,2,1,1,0,0,2,0,0,0
43,מטולה,מועצה מקומית,5,9,11,10,2,7,5,1,8,1
822,מטע,מטה יהודה,2,1,1,0,1,0,2,1,0,0
1128,מי עמי,מנשה,0,0,0,0,0,2,0,0,2,0
2054,מיטב,הגלבוע,0,1,0,0,2,0,1,0,3,0
1154,מיטל,עמק המעיינות,0,0,0,0,0,0,0,0,0,0
649,מייסר,מנשה,0,0,2,4,0,2,1,11,15,3
4019,מיצר,גולן,0,1,0,0,0,0,0,5,13,3
1282,מירב,עמק המעיינות,2,9,0,0,6,3,5,1,6,3
607,מירון,מרום הגליל,2,5,7,1,1,1,6,5,6,0
731,מישר,גדרות,1,3,1,3,2,2,2,0,3,1
1268,מיתר,מועצה מקומית,91,125,301,95,63,55,113,44,65,10
1343,מכחול,אל קסום,0,0,0,0,0,1,0,0,1,0
382,מכמורת,עמק חפר,5,3,3,4,3,2,0,0,3,1
1202,מכמנים,משגב,8,3,3,2,2,5,10,14,1,1
164,מלאה,הגלבוע,0,1,0,0,1,0,0,0,1,0
2044,מלילות,שדות נגב,7,7,1,2,1,2,3,2,3,2
596,מלכייה,הגליל העליון,1,0,0,1,0,2,9,7,3,0
2030,מנוחה,לכיש,6,6,1,0,1,1,1,0,1,0
1174,מנוף,משגב,20,0,8,6,1,0,0,0,0,0
1205,מנות,מעלה יוסף,4,2,0,1,7,9,10,3,5,1
48,מנחמיה,עמק המעיינות,2,2,1,4,1,6,2,8,1,0
347,מנרה,הגליל העליון,0,0,0,4,2,0,2,0,2,0
994,מנשית זבדה,עמק יזרעאל,2,5,4,0,2,1,5,4,1,0
1258,מסד,הגליל התחתון,4,1,3,1,1,0,6,19,14,1
263,מסדה,עמק הירדן,0,1,0,1,0,0,1,2,2,0
298,מסילות,עמק המעיינות,0,1,2,6,9,3,1,3,4,1
742,מסילת ציון,מטה יהודה,3,3,0,0,1,2,0,1,1,0
748,מסלול,מרחבים,2,2,1,2,0,2,16,11,10,2
4203,מסעדה,מועצה מקומית,10,53,34,23,26,13,10,31,34,10
197,מעברות,עמק חפר,20,0,0,0,0,54,0,0,0,0
1082,מעגלים,שדות נגב,2,1,1,1,2,1,0,1,2,1
678,מעגן,עמק הירדן,1,3,1,1,0,3,0,0,1,5
694,מעגן מיכאל,חוף הכרמל,9,0,0,1,0,0,12,8,2,32
272,מעוז חיים,עמק המעיינות,6,6,1,3,0,2,2,1,2,1
570,מעונה,מעלה יוסף,0,2,0,0,0,1,0,0,0,0
416,מעיין ברוך,הגליל העליון,1,0,4,2,0,2,1,1,1,0
290,מעיין צבי,חוף הכרמל,0,1,0,0,0,0,0,0,0,2
518,מעיליא,מועצה מקומית,15,20,12,6,9,7,20,18,19,8
3616,מעלה אדומים,עירייה,163,0,1,47,40,22,251,426,0,0
1127,מעלה גלבוע,עמק המעיינות,5,6,9,1,3,8,10,4,11,0
4008,מעלה גמלא,גולן,6,10,5,6,6,4,3,7,5,2
286,מעלה החמישה,מטה יהודה,29,3,3,1,0,0,0,0,0,0
1327,מעלה עירון,מועצה מקומית,21,22,5,37,10,32,43,53,89,11
1063,מעלות-תרשיחא,עירייה,272,115,75,16,101,293,37,18,115,6
344,מענית,מנשה,0,0,0,0,0,0,1,27,2,0
230,מעש,דרום השרון,1,2,0,3,0,3,1,2,10,1
668,מפלסים,שער הנגב,11,1,1,1,8,0,6,7,0,5
325,מצובה,מטה אשר,1,2,0,1,0,0,0,0,9,1
757,מצליח,גזר,5,2,0,1,2,1,2,4,1,0
58,מצפה,הגליל התחתון,0,0,1,0,0,1,1,0,0,0
1222,"מצפה אבי""ב",משגב,1,5,17,3,0,1,0,0,0,0
1370,מצפה אילן,מנשה,0,3,32,14,4,3,8,3,2,0
1190,מצפה נטופה,הגליל התחתון,4,29,2,0,1,0,10,6,8,0
99,מצפה רמון,מועצה מקומית,3,1,7,5,16,38,37,38,11,8
648,מצר,מנשה,1,0,0,0,0,0,0,0,2,0
843,מרגליות,מבואות החרמון,3,0,0,0,0,0,0,2,0,0
4101,מרום גולן,גולן,0,1,7,6,2,1,9,5,0,0
1340,מרחב עם,רמת נגב,2,4,2,5,4,5,5,2,12,3
97,מרחביה (מושב),עמק יזרעאל,4,9,1,2,0,1,0,1,2,1
66,מרחביה (קיבוץ),עמק יזרעאל,4,5,3,3,1,5,7,10,10,4
1098,מרכז שפירא,שפיר,0,0,31,51,49,18,30,130,20,2
421,משאבי שדה,רמת נגב,7,0,0,0,11,0,0,6,0,0
765,משגב דב,גדרות,1,2,2,2,1,0,2,0,4,1
378,משגב עם,הגליל העליון,0,0,0,0,0,1,10,0,1,0
520,משהד,מועצה מקומית,27,44,40,30,37,70,51,81,47,5
620,משואות יצחק,שפיר,2,8,0,0,0,0,0,10,2,0
670,משמר איילון,גזר,3,2,2,5,2,1,2,0,0,0
563,משמר דוד,גזר,9,3,5,14,63,30,19,9,6,1
732,משמר הירדן,מבואות החרמון,10,9,4,3,7,12,3,2,4,0
395,משמר הנגב,בני שמעון,3,4,2,32,10,2,2,2,3,1
130,משמר העמק,מגידו,31,0,0,0,44,13,0,0,12,0
729,משמר השבעה,שדות דן,2,8,3,3,0,6,5,0,6,1
194,משמר השרון,עמק חפר,0,0,0,0,0,1,6,0,1,0
213,משמרות,מנשה,0,0,5,18,18,4,0,27,0,0
425,משמרת,לב השרון,1,4,0,2,1,1,5,3,2,0
791,משען,חוף אשקלון,4,4,2,3,1,2,1,4,3,1
1315,מתן,דרום השרון,2,6,23,4,2,8,11,1,2,0
1184,מתת,מעלה יוסף,0,0,0,0,0,0,0,7,1,2
4551,נאות גולן,גולן,12,4,2,5,6,6,3,1,0,0
1124,נאות הכיכר,תמר,1,0,5,0,1,0,2,1,1,0
408,נאות מרדכי,הגליל העליון,3,2,0,3,6,2,4,6,4,1
1197,נאות סמדר,חבל אילות,0,0,0,1,9,0,11,0,0,0
524,נאעורה,הגלבוע,14,6,4,3,11,7,4,12,27,9
396,נבטים,בני שמעון,14,6,6,8,7,3,6,6,1,1
315,נגבה,יואב,4,3,3,3,1,0,2,3,3,0
309,נהורה,לכיש,0,3,0,0,1,1,0,0,0,0
80,נהלל,עמק יזרעאל,6,9,10,18,4,19,23,14,7,1
9100,נהרייה,עירייה,561,"1,044",286,686,720,601,"1,686",418,816,39
4304,נוב,גולן,3,0,6,10,10,5,7,4,9,4
55,נוגה,לכיש,3,4,1,1,2,0,2,0,1,0
1366,נווה,אשכול,8,4,10,1,2,3,6,6,6,0
590,נווה אור,עמק המעיינות,1,10,2,1,1,1,3,3,0,0
4303,"נווה אטי""ב",גולן,4,3,2,0,1,1,1,3,0,0
405,נווה אילן,מטה יהודה,1,6,3,0,3,2,8,9,4,3
296,נווה איתן,עמק המעיינות,0,0,0,0,0,0,0,0,4,2
1057,נווה זוהר,תמר,0,0,0,2,6,14,8,5,5,0
1314,נווה זיו,מעלה יוסף,7,4,1,1,0,0,3,32,18,4
1279,נווה חריף,חבל אילות,0,0,0,0,0,44,0,0,0,0
312,נווה ים,חוף הכרמל,0,0,0,0,0,2,20,39,9,1
686,נווה ימין,דרום השרון,1,3,1,0,2,2,0,2,1,0
858,נווה ירק,דרום השרון,1,0,4,0,1,1,1,2,1,0
827,נווה מבטח,באר טוביה,2,3,0,0,0,0,2,0,0,0
1071,נווה מיכאל,מטה יהודה,9,12,4,2,1,3,3,0,1,0
1259,נווה שלום,מטה יהודה,9,6,3,2,4,3,3,3,5,0
15,נועם,שפיר,2,3,0,1,1,1,0,0,0,0
1333,נוף איילון,גזר,10,6,3,1,4,1,2,1,4,1
1061,נוף הגליל,עירייה,43,74,4,220,166,253,677,67,278,31
1284,נופית,זבולון,1,0,0,0,6,8,1,0,1,19
447,נורדייה,לב השרון,0,0,0,0,33,1,0,1,2,0
